sdist,state,n_women,hygienic_rate,ctx_temp_hot3_mean,ctx_heat_days_12mo,ctx_Aridity_2015,ctx_v113,ctx_v116,ctx_v190,predicted_rate,raw_need_rank,adjusted_gap,adjusted_need_rank,underperforming,state_name,district_name
822,22,310,0.17380154590136843,32.40959659932516,10.491839033045634,25.367266900313687,15.410539731303961,16.002271671039292,2.9063866682880115,0.4806397076818656,76,-0.30683816178049717,9,True,chhattisgarh,balod
324,18,357,0.1738785210956714,28.282138583499133,55.47608659246516,64.22416825708176,24.590221431561652,29.500997246526218,1.8088571900902086,0.3365161884721947,77,-0.16263766737652333,133,True,assam,baksa
205,10,357,0.17592779792568825,29.403729439474553,63.348423450284905,26.933400887533047,23.319685312983463,23.439489343776888,1.8677280940787417,0.22957065122268633,78,-0.05364285329699808,454,True,bihar,sheohar
206,10,437,0.17669327961479864,29.129681248560676,65.01299483380137,29.14546792862047,26.468124477226173,25.075985777529745,1.8483608320549256,0.24195401437339287,79,-0.06526073475859423,425,True,bihar,sitamarhi
300,18,314,0.1793906883675269,28.195139589462382,57.30641468905839,71.77117869632494,23.632320942143405,22.725237626502718,2.027601588075708,0.3481200038630965,80,-0.1687293154955696,113,True,assam,kokrajhar
237,10,556,0.18050709754193284,32.2261856853262,60.699555707833305,25.083532279442004,28.926124538667537,28.280080836556078,2.406316881334231,0.35575989582129053,81,-0.1752527982793577,103,True,bihar,nawada
362,20,323,0.18192021569469266,30.78585976272654,39.07855347476581,34.346805816615245,26.25135740428405,31.87590606097582,1.5864480077442986,0.3668941802030642,82,-0.18497396450837153,91,True,jharkhand,dumka
184,9,592,0.18229250240192374,30.2603589319319,59.669358021267726,29.4690935778153,24.551738773362878,30.416226043870413,2.370715452081397,0.22223140344716805,83,-0.03993890104524431,487,True,uttar pradesh,siddharthnagar
185,9,559,0.183214664604473,30.81514466987267,55.829125164339665,22.81112599193781,24.958754467541667,33.439475366674216,2.4895829994327334,0.2998302770430688,84,-0.1166156124385958,255,True,uttar pradesh,basti
156,9,457,0.18363968914412546,32.35554538694489,,13.52278888683968,23.958072532722035,24.104597925865033,2.313548906738051,0.26785764579681653,85,-0.08421795665269108,370,True,uttar pradesh,unnao
210,10,522,0.18464712951235604,28.650459073349126,39.48031147393259,55.46784983201199,22.850388574589168,23.50630616940417,1.666421704297951,0.3145958325632976,86,-0.12994870305094156,218,True,bihar,kishanganj
929,9,550,0.1853221217929502,31.134050232208345,,15.267106006114373,20.26161350761276,15.42634483133876,3.5424634704884626,0.3730641052651319,87,-0.18774198347218168,87,True,uttar pradesh,shamli
859,24,355,0.1856905420858212,31.945796334956217,51.177539057088126,6.717544304325562,29.27813149019003,18.126937237642743,3.8141840643223124,0.32929135267755344,88,-0.14360081059173224,178,True,gujarat,morbi
159,9,528,0.18643144193003242,32.652572528940084,46.823645255708186,14.200981188267495,24.2637998975696,22.557590585426404,2.859935743470152,0.2603840723943415,89,-0.07395263046430911,399,True,uttar pradesh,farrukhabad
125,8,444,0.18716681805739108,32.586325540650876,36.863239953084914,15.290784878227859,23.562368739112063,27.095159171168422,1.8771103545292807,0.2801065084494575,90,-0.09293969039206643,329,True,rajasthan,banswara
813,18,373,0.18817902897765387,28.72046214303646,58.62565343447228,60.49733369148411,21.169839311641383,26.275896489723795,2.1275873105635905,0.3551575571161686,91,-0.16697852813851471,119,True,assam,hojai
456,23,332,0.19091090192830562,31.67479490303267,9.866823437770329,25.39729347120054,24.067229997628978,23.372271660561857,1.9858086037813711,0.36017635368314255,92,-0.16926545175483693,112,True,madhya pradesh,seoni
13,1,345,0.1911141577396665,21.795701892292584,43.490233784812865,43.53692849853916,12.073676350728311,14.069672910498056,3.3149592841206856,0.40274606717687433,93,-0.21163190943720783,53,True,jammu & kashmir,shupiyan
394,21,331,0.19151887224060404,32.506458889167185,8.660623187710582,27.61533539246501,22.00446052742483,21.67935772821996,1.8605090611714212,0.38966878224424484,94,-0.1981499100036408,71,True,odisha,nuapada
366,20,438,0.19178664951259844,29.674313013781106,4.159169000679916,26.85954180338735,26.13648084846413,29.663635069869407,1.4630013022843875,0.3502207678143939,95,-0.15843411830179543,138,True,jharkhand,gumla
834,22,425,0.19221528986550482,31.69428929047323,28.556024167035122,28.05356504958979,19.596334911967272,27.736891863928637,1.3955083570330553,0.4520046577895261,96,-0.2597893679240213,22,True,chhattisgarh,sukma
326,18,319,0.19228133396536262,28.28801501564434,49.66353690093994,58.12823700007373,24.901003813592816,30.402290026430805,1.768748798627972,0.32810424577048775,97,-0.13582291180512512,203,True,assam,udalguri
153,9,530,0.1935777416066911,30.989675593940103,,22.710709363652903,24.100646471549844,30.0532322182898,2.0692759604326936,0.24325822942292266,98,-0.04968048781623155,466,True,uttar pradesh,kheri
268,13,230,0.19404839423697273,24.508529421642347,48.88355290233032,60.853349465699765,33.25564133176703,15.135646555416509,1.6659242534883736,0.4147005926287546,99,-0.22065219839178185,43,True,nagaland,longleng
447,23,357,0.1940783995265336,31.04542209962665,22.811406207988032,21.869137837018922,20.520727159585753,20.020311485066216,2.2346736469641906,0.40398554149715926,100,-0.20990714197062565,55,True,madhya pradesh,betul
176,9,488,0.19590874930834304,31.15965774931845,54.78037689346837,17.663307408662725,21.932869107102093,22.172280284514123,2.185174004251528,0.2648558048806806,101,-0.06894705557233757,410,True,uttar pradesh,bara banki
489,24,249,0.19807481069165045,30.087005044341357,53.716830492193225,24.51804295204082,23.864065193841984,21.067538739672845,1.9805637640748366,0.39883571868383244,102,-0.200760907992182,68,True,gujarat,the dangs
238,10,474,0.19862441879804338,31.928257517241093,59.51083923207064,28.079013084209905,31.161962634779847,31.051394610316233,1.9748164278849742,0.2899322911579208,103,-0.09130787235987742,337,True,bihar,jamui
